Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1973-05-31,107.2,3.20333,7.08667,43.9,6.85,601.81323006834,17.983268416743,39.784064954556,16.314338759669
1973-04-30,110.3,3.18667,6.94333,43.6,6.67,623.47707454128,18.012834896904,39.24757095172,16.935740066051
1973-03-31,112.4,3.17,6.8,43.3,6.71,639.74939030023,18.042754157044,38.703699769053,17.41214205829
1973-02-28,114.2,3.16333,6.67333,42.9,6.64,656.05504195804,18.172667214336,38.336880850699,17.889889599194
1973-01-31,118.4,3.15667,6.54667,42.6,6.46,684.97318309859,18.262114002465,37.874099565845,18.712530467302
1972-12-31,117.5,3.15,6.42,42.5,6.36,681.36591176471,18.266405294118,37.228673647059,18.645719442074
1972-11-30,115.1,3.12667,6.32667,42.4,6.28,669.02282193396,18.173879988325,36.773993195873,18.338894714968
1972-10-31,109.6,3.10333,6.23333,42.3,6.48,638.55991489362,18.080858947872,36.317104692553,17.533183854159
1972-09-30,109.4,3.08,6.14,42.1,6.55,640.42266270784,18.030180997625,35.943282897862,17.613854552912
1972-08-31,111.0,3.07667,6.08333,42.0,6.21,651.33610714286,18.053569916786,35.696328654643,17.94340468803
1972-07-31,107.2,3.07333,6.02667,41.9,6.11,630.53939856802,18.077011658592,35.448254451193,17.398690031138
1972-06-30,108.0,3.07,5.97,41.7,6.11,638.29165467626,18.144031294964,35.283344244604,17.64085731574
1972-05-31,107.7,3.07,5.91667,41.6,6.13,638.04871514423,18.187646754808,35.052216262139,17.662646200373
1972-04-30,108.8,3.07,5.86333,41.5,6.19,646.1186313253,18.231472409639,34.819915023976,17.915161678498
1972-03-31,107.7,3.07,5.81,41.4,6.07,641.13107608696,18.275509782609,34.586551086957,17.805643849615
1972-02-29,105.2,3.07,5.77333,41.3,6.08,627.76507990315,18.319760411622,34.451473087046,17.464147605486
1972-01-31,103.3,3.07,5.73667,41.1,5.95,619.42676277372,18.408907664234,34.399292615693,17.262996797035
1971-12-31,99.17,3.07,5.7,41.1,5.93,594.6616850365,18.408907664234,34.179405109489,16.603557212925
1971-11-30,92.78,3.07667,5.61,40.9,5.81,559.06528533007,18.539118251956,33.804227750611,15.638712654327
1971-10-31,97.29,3.08333,5.52,40.9,5.93,586.24123312958,18.579249474205,33.26191393643,16.428862709159
1971-09-30,99.4,3.09,5.43,40.8,6.14,600.42350735294,18.665076838235,32.799795220588,16.856792547836
1971-08-31,97.24,3.09333,5.39333,40.8,6.58,587.376075,18.685191629779,32.578290894485,16.519449443052
1971-07-31,99.0,3.09667,5.35667,40.7,6.73,599.47662162162,18.751325958354,32.436347825676,16.889414708693
1971-06-30,99.72,3.1,5.32,40.6,6.52,605.32373349754,18.817725369458,32.293644827586,17.083166880071
1971-05-31,101.6,3.10333,5.28667,40.3,6.39,621.32685856079,18.978172047022,32.330217158933,17.564153279699
1971-04-30,103.0,3.10667,5.25333,40.1,5.83,633.03003740648,19.093353653491,32.286560062219,17.92411044796
1971-03-31,99.6,3.11,5.22,40.0,5.7,613.664235,19.161604125,32.16192075,17.402902607189
1971-02-28,97.11,3.12,5.19,39.9,6.11,599.82218458647,19.271395488722,32.05722518797,17.034534781502
1971-01-31,93.49,3.13,5.16,39.8,6.24,578.91333505025,19.381738567839,31.952003517588,16.461793943492
1970-12-31,90.05,3.14,5.13,39.8,6.39,557.61199937186,19.443661055276,31.766236055276,15.873840687206
1970-11-30,84.28,3.15667,5.20667,39.6,6.84,524.51849545455,19.6456074875,32.403829078409,14.950761908792
1970-10-31,84.37,3.17333,5.28333,39.4,7.33,527.74398616751,19.849541586168,33.047832576015,15.06418540409
1970-09-30,82.58,3.19,5.36,39.2,7.39,519.18277729592,20.055619515306,33.698470408163,14.842661145242
1970-08-31,77.92,3.18667,5.41333,39.0,7.53,492.39745846154,20.137425679615,34.208289705,14.100456516815
1970-07-31,75.72,3.18333,5.46667,39.0,7.46,478.49506615385,20.116319320385,34.545359525769,13.72649974436
1970-06-30,75.59,3.18,5.52,38.8,7.84,480.13579600515,20.198860051546,35.062172164948,13.799691797725
1970-05-31,76.06,3.17667,5.55667,38.6,7.91,485.62438056995,20.282256127073,35.477970375777,13.983836060789
1970-04-30,85.95,3.17333,5.59333,38.5,7.39,550.19497207792,20.313556844026,35.804793986883,15.873067819354
1970-03-31,88.65,3.17,5.63,38.2,7.07,571.93522185864,20.451603534031,36.322564005236,16.531690813944
1970-02-28,87.16,3.16667,5.68,38.0,7.24,565.28191421053,20.537646618553,36.838013684211,16.37258678716
1970-01-31,90.31,3.16333,5.73,37.8,7.79,588.81044880952,20.624535013095,37.358917857143,17.09054139514
1969-12-31,91.11,3.16,5.78,37.7,7.65,595.60202029178,20.657473209549,37.784871883289,17.326929913743
1969-11-30,96.21,3.15667,5.81667,37.5,7.14,632.2959684,20.7457615068,38.2273879068,18.437760084691
1969-10-31,95.52,3.15333,5.85333,37.3,7.1,631.12727292225,20.834930522654,38.674583337668,18.448662031815
1969-09-30,94.51,3.15,5.89,37.1,7.16,627.82024973046,20.925127358491,39.12666671159,18.398046344677
1969-08-31,94.18,3.14333,5.87333,37.0,6.69,627.31898027027,20.937253878243,39.121378067432,18.429515590208
1969-07-31,94.71,3.13667,5.85667,36.8,6.72,634.27775991848,21.006440937636,39.222421372418,18.681708207193
1969-06-30,99.14,3.13,5.84,36.6,6.57,667.57381721311,21.076316803279,39.324501639344,19.713341583758
1969-05-31,104.6,3.12,5.83333,36.4,6.32,708.20953021978,21.124414285714,39.495410123489,20.972258271972
1969-04-30,101.3,3.11,5.82667,36.3,6.17,687.75583884298,21.114715289256,39.558996184711,20.428608081932
1969-03-31,99.3,3.1,5.82,36.1,6.3,677.91229778393,21.163425207756,39.732624099723,20.202287616482
1969-02-28,101.5,3.09,5.8,35.8,6.19,698.73819134078,21.271931145251,39.927896648045,20.895729901987
1969-01-31,102.0,3.08,5.78,35.6,6.04,706.12508426966,21.322208426966,40.013754775281,21.194968072847
1968-12-31,106.5,3.07,5.76,35.5,6.03,739.3545,21.312848028169,39.987623661972,22.277872995435
1968-11-30,105.4,3.05667,5.72667,35.4,5.7,733.78497457627,21.280251596186,39.868542697881,22.195529227158
1968-10-31,103.8,3.04333,5.69333,35.3,5.58,724.69307932011,21.247400665581,39.748717237819,22.004606927957
1968-09-30,101.3,3.03,5.66,35.1,5.46,711.26885897436,21.274873076923,39.741182051282,21.680275633293
1968-08-31,98.11,3.01667,5.63,35.0,5.42,690.83876185714,21.241795614429,39.643484142857,21.137766793618
1968-07-31,100.3,3.00333,5.6,34.9,5.5,708.28325071633,21.208457979799,39.545226361032,21.753537415671
1968-06-30,100.5,2.99,5.57,34.7,5.72,713.78604466859,21.236022622478,39.560082276657,22.004623431347
1968-05-31,97.87,2.97667,5.52667,34.5,5.87,699.1364726087,21.263906855217,39.47988729,21.63022714278
1968-04-30,95.67,2.96333,5.48333,34.4,5.64,685.40741293605,21.230148938808,39.284154171366,21.277356015672
1968-03-31,89.09,2.95,5.44,34.3,5.74,640.12723425656,21.196266034985,39.087351603499,19.934711308296
1968-02-29,90.75,2.94,5.40333,34.2,5.56,653.96121710526,21.186181578947,38.937391330263,20.424992376214
1968-01-31,95.04,2.93,5.36667,34.1,5.53,686.88418064516,21.17603797654,38.786623797801,21.511535896332
1967-12-31,95.3,2.92,5.33,33.9,5.7,692.82678318584,21.22827079646,38.748864159292,21.751597808724
1967-11-30,92.66,2.92,5.32,33.8,5.75,675.62710029586,21.291076331361,38.79059112426,21.263102968336
1967-10-31,95.66,2.92,5.31,33.7,5.48,699.57123115727,21.354254599407,38.832565727003,22.068199194184
1967-09-30,95.81,2.92,5.3,33.6,5.3,702.75351830357,21.417808928571,38.874790178571,22.219145488665
1967-08-31,94.49,2.91333,5.31,33.5,5.28,695.14036522388,21.432673089403,39.064401940299,22.030627049126
1967-07-31,93.01,2.90667,5.32,33.4,5.16,686.30101841317,21.44770004506,39.255149101796,21.804196245666
1967-06-30,91.43,2.9,5.33,33.3,5.02,676.66848783784,21.462743243243,39.447041891892,21.552097609793
1967-05-31,92.59,2.9,5.37,33.2,4.85,687.31760195783,21.527390060241,39.862787801205,21.948477389658
1967-04-30,90.96,2.9,5.41,33.1,4.59,677.25765679758,21.592427492447,40.281045770393,21.686025566746
1967-03-31,89.42,2.9,5.45,33.0,4.54,667.80888272727,21.657859090909,40.701838636364,21.443898602019
1967-02-28,87.36,2.89,5.48333,32.9,4.63,654.40738723404,21.648779179331,41.075225030243,21.074443163678
1967-01-31,84.45,2.88,5.51667,32.9,4.58,632.60878951368,21.573869908815,41.324972538146,20.432242125384
1966-12-31,81.33,2.87,5.55,32.9,4.84,609.23709711246,21.498960638298,41.574645136778,19.736473752792
1966-11-30,80.99,2.87667,5.53667,32.9,5.16,606.69018191489,21.548925121733,41.474791079179,19.711251211929
1966-10-31,77.13,2.88333,5.52333,32.9,5.01,577.77520349544,21.598814695897,41.37486211231,18.825409371316
1966-09-30,77.81,2.89,5.51,32.7,5.18,586.43398211009,21.781187614679,41.527454587156,19.161676250615
1966-08-31,80.65,2.87,5.49333,32.7,5.22,607.83833256881,21.630452752294,41.401817079358,19.91390386401
1966-07-31,85.84,2.85,5.47667,32.5,5.02,650.93528492308,21.611900769231,41.530262661692,21.381702007433
